"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that we can access inventory via stored session.","364","test_verify_inventory_access[chromium]","tests.sauce_demo","Thu Apr 23 17:47:58 UTC 2026","passed","Thu Apr 23 17:47:58 UTC 2026","","test_inventory","",""
"
    Validates the standard login flow for OrangeHRM.
    Uses 'config_data' fixture from conftest.py.
    ","3732","test_login_successful[chromium]","tests.orange_hrm","Thu Apr 23 17:48:02 UTC 2026","passed","Thu Apr 23 17:48:06 UTC 2026","","test_login","",""
"","8106","test_add_new_employee[chromium]","tests.orange_hrm","Thu Apr 23 17:48:06 UTC 2026","passed","Thu Apr 23 17:48:14 UTC 2026","","test_pim","",""
"Verifies a user can successfully buy an item from start to finish.","826","test_e2e_purchase_flow[chromium]","tests.sauce_demo","Thu Apr 23 17:47:59 UTC 2026","passed","Thu Apr 23 17:47:59 UTC 2026","","test_checkout_complete","",""
"","609","test_add_to_cart_and_verify[chromium]","tests.sauce_demo","Thu Apr 23 17:47:58 UTC 2026","passed","Thu Apr 23 17:47:59 UTC 2026","","test_cart","",""
"","457","test_valid_logins[chromium-0]","tests.sauce_demo","Thu Apr 23 17:47:58 UTC 2026","passed","Thu Apr 23 17:47:59 UTC 2026","","test_login","",""
"","538","test_valid_logins[chromium-1]","tests.sauce_demo","Thu Apr 23 17:47:59 UTC 2026","passed","Thu Apr 23 17:48:00 UTC 2026","","test_login","",""
"","7619","test_valid_logins[chromium-2]","tests.sauce_demo","Thu Apr 23 17:48:00 UTC 2026","passed","Thu Apr 23 17:48:07 UTC 2026","","test_login","",""
