"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that we can access inventory via stored session.","434","test_verify_inventory_access[chromium]","tests.sauce_demo","Tue Apr 21 18:03:35 UTC 2026","passed","Tue Apr 21 18:03:35 UTC 2026","","test_inventory","",""
"","485","test_valid_logins[chromium-0]","tests.sauce_demo","Tue Apr 21 18:03:35 UTC 2026","passed","Tue Apr 21 18:03:36 UTC 2026","","test_login","",""
"Verifies a user can successfully buy an item from start to finish.","785","test_e2e_purchase_flow[chromium]","tests.sauce_demo","Tue Apr 21 18:03:35 UTC 2026","passed","Tue Apr 21 18:03:36 UTC 2026","","test_checkout_complete","",""
"","526","test_valid_logins[chromium-1]","tests.sauce_demo","Tue Apr 21 18:03:36 UTC 2026","passed","Tue Apr 21 18:03:36 UTC 2026","","test_login","",""
"","8678","test_add_new_employee[chromium]","tests.orange_hrm","Tue Apr 21 18:03:44 UTC 2026","passed","Tue Apr 21 18:03:52 UTC 2026","","test_pim","",""
"","822","test_add_to_cart_and_verify[chromium]","tests.sauce_demo","Tue Apr 21 18:03:34 UTC 2026","passed","Tue Apr 21 18:03:35 UTC 2026","","test_cart","",""
"","5391","test_valid_logins[chromium-2]","tests.sauce_demo","Tue Apr 21 18:03:36 UTC 2026","passed","Tue Apr 21 18:03:42 UTC 2026","","test_login","",""
"
    Validates the standard login flow for OrangeHRM.
    Uses 'config_data' fixture from conftest.py.
    ","4409","test_login_successful[chromium]","tests.orange_hrm","Tue Apr 21 18:03:39 UTC 2026","passed","Tue Apr 21 18:03:43 UTC 2026","","test_login","",""
