"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_valid_logins[chromium-1]","tests.sauce_demo","Tue Jun 16 16:37:50 UTC 2026","broken","Tue Jun 16 16:37:50 UTC 2026","","test_login","",""
"","0","test_add_new_employee[chromium]","tests.orange_hrm","Tue Jun 16 16:37:28 UTC 2026","broken","Tue Jun 16 16:37:28 UTC 2026","","test_pim","",""
"","0","test_valid_logins[chromium-2]","tests.sauce_demo","Tue Jun 16 16:38:37 UTC 2026","broken","Tue Jun 16 16:38:37 UTC 2026","","test_login","",""
"Verifies a user can successfully buy an item from start to finish.","0","test_e2e_purchase_flow[chromium]","tests.sauce_demo","Tue Jun 16 16:38:06 UTC 2026","broken","Tue Jun 16 16:38:06 UTC 2026","","test_checkout_complete","",""
"
    Validates the standard login flow for OrangeHRM.
    Uses 'config_data' fixture from conftest.py.
    ","0","test_login_successful[chromium]","tests.orange_hrm","Tue Jun 16 16:37:04 UTC 2026","broken","Tue Jun 16 16:37:04 UTC 2026","","test_login","",""
"Verifies that we can access inventory via stored session.","0","test_verify_inventory_access[chromium]","tests.sauce_demo","Tue Jun 16 16:37:04 UTC 2026","broken","Tue Jun 16 16:37:04 UTC 2026","","test_inventory","",""
"","0","test_add_to_cart_and_verify[chromium]","tests.sauce_demo","Tue Jun 16 16:37:04 UTC 2026","broken","Tue Jun 16 16:37:04 UTC 2026","","test_cart","",""
"","0","test_valid_logins[chromium-0]","tests.sauce_demo","Tue Jun 16 16:37:36 UTC 2026","broken","Tue Jun 16 16:37:36 UTC 2026","","test_login","",""
