"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5381","test_valid_logins[chromium-2]","tests.sauce_demo","Tue Apr 21 19:16:20 UTC 2026","passed","Tue Apr 21 19:16:26 UTC 2026","","test_login","",""
"","428","test_valid_logins[chromium-0]","tests.sauce_demo","Tue Apr 21 19:16:19 UTC 2026","passed","Tue Apr 21 19:16:20 UTC 2026","","test_login","",""
"
    Validates the standard login flow for OrangeHRM.
    Uses 'config_data' fixture from conftest.py.
    ","4548","test_login_successful[chromium]","tests.orange_hrm","Tue Apr 21 19:16:24 UTC 2026","passed","Tue Apr 21 19:16:28 UTC 2026","","test_login","",""
"","490","test_valid_logins[chromium-1]","tests.sauce_demo","Tue Apr 21 19:16:20 UTC 2026","passed","Tue Apr 21 19:16:20 UTC 2026","","test_login","",""
"Verifies a user can successfully buy an item from start to finish.","809","test_e2e_purchase_flow[chromium]","tests.sauce_demo","Tue Apr 21 19:16:20 UTC 2026","passed","Tue Apr 21 19:16:20 UTC 2026","","test_checkout_complete","",""
"","8914","test_add_new_employee[chromium]","tests.orange_hrm","Tue Apr 21 19:16:29 UTC 2026","passed","Tue Apr 21 19:16:38 UTC 2026","","test_pim","",""
"","679","test_add_to_cart_and_verify[chromium]","tests.sauce_demo","Tue Apr 21 19:16:19 UTC 2026","passed","Tue Apr 21 19:16:19 UTC 2026","","test_cart","",""
"Verifies that we can access inventory via stored session.","393","test_verify_inventory_access[chromium]","tests.sauce_demo","Tue Apr 21 19:16:19 UTC 2026","passed","Tue Apr 21 19:16:19 UTC 2026","","test_inventory","",""
