"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies a user can successfully buy an item from start to finish.","760","test_e2e_purchase_flow[chromium]","tests.sauce_demo","Wed Apr 22 06:14:17 UTC 2026","passed","Wed Apr 22 06:14:18 UTC 2026","","test_checkout_complete","",""
"Verifies that we can access inventory via stored session.","363","test_verify_inventory_access[chromium]","tests.sauce_demo","Wed Apr 22 06:14:16 UTC 2026","passed","Wed Apr 22 06:14:17 UTC 2026","","test_inventory","",""
"","538","test_add_to_cart_and_verify[chromium]","tests.sauce_demo","Wed Apr 22 06:14:16 UTC 2026","passed","Wed Apr 22 06:14:17 UTC 2026","","test_cart","",""
"","5312","test_valid_logins[chromium-2]","tests.sauce_demo","Wed Apr 22 06:14:18 UTC 2026","passed","Wed Apr 22 06:14:23 UTC 2026","","test_login","",""
"
    Validates the standard login flow for OrangeHRM.
    Uses 'config_data' fixture from conftest.py.
    ","0","test_login_successful[chromium]","tests.orange_hrm","Wed Apr 22 06:14:14 UTC 2026","broken","Wed Apr 22 06:14:14 UTC 2026","","test_login","",""
"","8973","test_add_new_employee[chromium]","tests.orange_hrm","Wed Apr 22 06:14:52 UTC 2026","passed","Wed Apr 22 06:15:01 UTC 2026","","test_pim","",""
"","396","test_valid_logins[chromium-0]","tests.sauce_demo","Wed Apr 22 06:14:17 UTC 2026","passed","Wed Apr 22 06:14:17 UTC 2026","","test_login","",""
"","423","test_valid_logins[chromium-1]","tests.sauce_demo","Wed Apr 22 06:14:17 UTC 2026","passed","Wed Apr 22 06:14:18 UTC 2026","","test_login","",""
