"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","438","test_valid_logins[chromium-0]","tests.sauce_demo","Thu May 07 16:51:41 UTC 2026","passed","Thu May 07 16:51:41 UTC 2026","","test_login","",""
"Verifies that we can access inventory via stored session.","400","test_verify_inventory_access[chromium]","tests.sauce_demo","Thu May 07 16:51:40 UTC 2026","passed","Thu May 07 16:51:41 UTC 2026","","test_inventory","",""
"","566","test_add_to_cart_and_verify[chromium]","tests.sauce_demo","Thu May 07 16:51:40 UTC 2026","passed","Thu May 07 16:51:41 UTC 2026","","test_cart","",""
"","7570","test_add_new_employee[chromium]","tests.orange_hrm","Thu May 07 16:51:47 UTC 2026","passed","Thu May 07 16:51:55 UTC 2026","","test_pim","",""
"Verifies a user can successfully buy an item from start to finish.","881","test_e2e_purchase_flow[chromium]","tests.sauce_demo","Thu May 07 16:51:41 UTC 2026","passed","Thu May 07 16:51:42 UTC 2026","","test_checkout_complete","",""
"","534","test_valid_logins[chromium-1]","tests.sauce_demo","Thu May 07 16:51:41 UTC 2026","passed","Thu May 07 16:51:42 UTC 2026","","test_login","",""
"","5392","test_valid_logins[chromium-2]","tests.sauce_demo","Thu May 07 16:51:42 UTC 2026","passed","Thu May 07 16:51:48 UTC 2026","","test_login","",""
"
    Validates the standard login flow for OrangeHRM.
    Uses 'config_data' fixture from conftest.py.
    ","3490","test_login_successful[chromium]","tests.orange_hrm","Thu May 07 16:51:44 UTC 2026","passed","Thu May 07 16:51:47 UTC 2026","","test_login","",""
