"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Validates the standard login flow for OrangeHRM.
    Uses 'config_data' fixture from conftest.py.
    ","3751","test_login_successful[chromium]","tests.orange_hrm","Tue Apr 21 19:30:46 UTC 2026","passed","Tue Apr 21 19:30:50 UTC 2026","","test_login","",""
"Verifies that we can access inventory via stored session.","390","test_verify_inventory_access[chromium]","tests.sauce_demo","Tue Apr 21 19:30:43 UTC 2026","passed","Tue Apr 21 19:30:43 UTC 2026","","test_inventory","",""
"Verifies a user can successfully buy an item from start to finish.","836","test_e2e_purchase_flow[chromium]","tests.sauce_demo","Tue Apr 21 19:30:44 UTC 2026","passed","Tue Apr 21 19:30:45 UTC 2026","","test_checkout_complete","",""
"","472","test_valid_logins[chromium-0]","tests.sauce_demo","Tue Apr 21 19:30:43 UTC 2026","passed","Tue Apr 21 19:30:44 UTC 2026","","test_login","",""
"","671","test_add_to_cart_and_verify[chromium]","tests.sauce_demo","Tue Apr 21 19:30:43 UTC 2026","passed","Tue Apr 21 19:30:44 UTC 2026","","test_cart","",""
"","553","test_valid_logins[chromium-1]","tests.sauce_demo","Tue Apr 21 19:30:44 UTC 2026","passed","Tue Apr 21 19:30:45 UTC 2026","","test_login","",""
"","5363","test_valid_logins[chromium-2]","tests.sauce_demo","Tue Apr 21 19:30:45 UTC 2026","passed","Tue Apr 21 19:30:50 UTC 2026","","test_login","",""
"","8094","test_add_new_employee[chromium]","tests.orange_hrm","Tue Apr 21 19:30:50 UTC 2026","passed","Tue Apr 21 19:30:58 UTC 2026","","test_pim","",""
